img_id,img_from_id,file,hw,box_id,box,label
0,0,SOL4_ST2_0051_CROPPED_0.JPG,"[0, 0]",0-6,[ 479  960  526 1017],2
0,0,SOL4_ST2_0051_CROPPED_0.JPG,"[0, 0]",0-22,[691  26 741  71],2
1,0,SOL4_ST2_0051_CROPPED_1.JPG,"[0, 1]",0-22,[179  26 229  71],2
2,0,SOL4_ST2_0051_CROPPED_2.JPG,"[0, 2]",0-14,[807 293 876 369],8
3,0,SOL4_ST2_0051_CROPPED_3.JPG,"[0, 3]",0-11,[595 157 631 202],2
3,0,SOL4_ST2_0051_CROPPED_3.JPG,"[0, 3]",0-14,[295 293 364 369],8
3,0,SOL4_ST2_0051_CROPPED_3.JPG,"[0, 3]",0-31,[ 21   1 716 536],0
4,0,SOL4_ST2_0051_CROPPED_4.JPG,"[0, 4]",0-11,[ 83 157 119 202],2
4,0,SOL4_ST2_0051_CROPPED_4.JPG,"[0, 4]",0-17,[812 624 852 662],9
4,0,SOL4_ST2_0051_CROPPED_4.JPG,"[0, 4]",0-18,[709 960 724 983],9
5,0,SOL4_ST2_0051_CROPPED_5.JPG,"[0, 5]",0-17,[300 624 340 662],9
5,0,SOL4_ST2_0051_CROPPED_5.JPG,"[0, 5]",0-18,[197 960 212 983],9
9,0,SOL4_ST2_0051_CROPPED_9.JPG,"[1, 0]",0-6,[479 448 526 505],2
12,0,SOL4_ST2_0051_CROPPED_12.JPG,"[1, 3]",0-4,[194 487 566 669],4
12,0,SOL4_ST2_0051_CROPPED_12.JPG,"[1, 3]",0-15,[398 692 784 942],0
13,0,SOL4_ST2_0051_CROPPED_13.JPG,"[1, 4]",0-17,[812 112 852 150],9
13,0,SOL4_ST2_0051_CROPPED_13.JPG,"[1, 4]",0-18,[709 448 724 471],9
13,0,SOL4_ST2_0051_CROPPED_13.JPG,"[1, 4]",0-33,[ 938  909 1000  959],7
14,0,SOL4_ST2_0051_CROPPED_14.JPG,"[1, 5]",0-17,[300 112 340 150],9
14,0,SOL4_ST2_0051_CROPPED_14.JPG,"[1, 5]",0-18,[197 448 212 471],9
14,0,SOL4_ST2_0051_CROPPED_14.JPG,"[1, 5]",0-33,[426 909 488 959],7
18,0,SOL4_ST2_0051_CROPPED_18.JPG,"[2, 0]",0-21,[955 526 986 555],9
19,0,SOL4_ST2_0051_CROPPED_19.JPG,"[2, 1]",0-2,[540 662 590 712],2
19,0,SOL4_ST2_0051_CROPPED_19.JPG,"[2, 1]",0-21,[443 526 474 555],9
20,0,SOL4_ST2_0051_CROPPED_20.JPG,"[2, 2]",0-1,[756 648 851 743],8
20,0,SOL4_ST2_0051_CROPPED_20.JPG,"[2, 2]",0-2,[ 28 662  78 712],2
20,0,SOL4_ST2_0051_CROPPED_20.JPG,"[2, 2]",0-10,[867 590 907 628],2
21,0,SOL4_ST2_0051_CROPPED_21.JPG,"[2, 3]",0-1,[244 648 339 743],8
21,0,SOL4_ST2_0051_CROPPED_21.JPG,"[2, 3]",0-9,[738 774 790 826],2
21,0,SOL4_ST2_0051_CROPPED_21.JPG,"[2, 3]",0-10,[355 590 395 628],2
21,0,SOL4_ST2_0051_CROPPED_21.JPG,"[2, 3]",0-15,[398 180 784 430],0
21,0,SOL4_ST2_0051_CROPPED_21.JPG,"[2, 3]",0-30,[380 552 539 798],0
22,0,SOL4_ST2_0051_CROPPED_22.JPG,"[2, 4]",0-9,[226 774 278 826],2
22,0,SOL4_ST2_0051_CROPPED_22.JPG,"[2, 4]",0-16,[626 721 786 864],17
22,0,SOL4_ST2_0051_CROPPED_22.JPG,"[2, 4]",0-33,[ 938  397 1000  447],7
23,0,SOL4_ST2_0051_CROPPED_23.JPG,"[2, 5]",0-16,[114 721 274 864],17
23,0,SOL4_ST2_0051_CROPPED_23.JPG,"[2, 5]",0-33,[426 397 488 447],7
24,0,SOL4_ST2_0051_CROPPED_24.JPG,"[2, 6]",0-35,[397 545 800 900],1
27,0,SOL4_ST2_0051_CROPPED_27.JPG,"[3, 0]",0-19,[910 528 931 552],9
27,0,SOL4_ST2_0051_CROPPED_27.JPG,"[3, 0]",0-21,[955  14 986  43],9
27,0,SOL4_ST2_0051_CROPPED_27.JPG,"[3, 0]",0-32,[805 638 853 688],7
28,0,SOL4_ST2_0051_CROPPED_28.JPG,"[3, 1]",0-2,[540 150 590 200],2
28,0,SOL4_ST2_0051_CROPPED_28.JPG,"[3, 1]",0-19,[398 528 419 552],9
28,0,SOL4_ST2_0051_CROPPED_28.JPG,"[3, 1]",0-21,[443  14 474  43],9
28,0,SOL4_ST2_0051_CROPPED_28.JPG,"[3, 1]",0-32,[293 638 341 688],7
29,0,SOL4_ST2_0051_CROPPED_29.JPG,"[3, 2]",0-1,[756 136 851 231],8
29,0,SOL4_ST2_0051_CROPPED_29.JPG,"[3, 2]",0-2,[ 28 150  78 200],2
29,0,SOL4_ST2_0051_CROPPED_29.JPG,"[3, 2]",0-10,[867  78 907 116],2
30,0,SOL4_ST2_0051_CROPPED_30.JPG,"[3, 3]",0-1,[244 136 339 231],8
30,0,SOL4_ST2_0051_CROPPED_30.JPG,"[3, 3]",0-9,[738 262 790 314],2
30,0,SOL4_ST2_0051_CROPPED_30.JPG,"[3, 3]",0-10,[355  78 395 116],2
30,0,SOL4_ST2_0051_CROPPED_30.JPG,"[3, 3]",0-30,[380  40 539 286],0
31,0,SOL4_ST2_0051_CROPPED_31.JPG,"[3, 4]",0-9,[226 262 278 314],2
31,0,SOL4_ST2_0051_CROPPED_31.JPG,"[3, 4]",0-16,[626 209 786 352],17
32,0,SOL4_ST2_0051_CROPPED_32.JPG,"[3, 5]",0-16,[114 209 274 352],17
33,0,SOL4_ST2_0051_CROPPED_33.JPG,"[3, 6]",0-35,[397  33 800 388],1
36,0,SOL4_ST2_0051_CROPPED_36.JPG,"[4, 0]",0-8,[898 740 941 781],2
36,0,SOL4_ST2_0051_CROPPED_36.JPG,"[4, 0]",0-19,[910  16 931  40],9
36,0,SOL4_ST2_0051_CROPPED_36.JPG,"[4, 0]",0-32,[805 126 853 176],7
37,0,SOL4_ST2_0051_CROPPED_37.JPG,"[4, 1]",0-8,[386 740 429 781],2
37,0,SOL4_ST2_0051_CROPPED_37.JPG,"[4, 1]",0-19,[398  16 419  40],9
37,0,SOL4_ST2_0051_CROPPED_37.JPG,"[4, 1]",0-20,[491 531 552 581],8
37,0,SOL4_ST2_0051_CROPPED_37.JPG,"[4, 1]",0-32,[293 126 341 176],7
